7.650000000000000000e+02,4.190000000000000000e+02
4.560000000000000000e+02,1.820000000000000000e+02
4.070000000000000000e+02,7.690000000000000000e+02
4.540000000000000000e+02,4.410000000000000000e+02
7.830000000000000000e+02,2.580000000000000000e+02
7.670000000000000000e+02,7.470000000000000000e+02
1.630000000000000000e+02,1.920000000000000000e+02
7.950000000000000000e+02,5.860000000000000000e+02
5.650000000000000000e+02,1.420000000000000000e+02
1.500000000000000000e+02,7.910000000000000000e+02
